id,metadata
38,{'title': 'How Airbnb attracted close to a million new hosts in\xa02022 A review of the platform’s host onboarding…'}
39,{'title': 'From Zero to $100 a Day: The Ultimate Guide to Launching a Content-Based Business In less than 3\xa0hours…'}
40,"{'title': 'How I Built Online Income Streams Alongside My\xa09–5 And how you can,\xa0too.'}"
41,"{'title': '<strong class=""markup--strong markup--h3-strong"">How a Bag of Broccoli Taught Me an Unforgettable Lesson About\xa0Startups</strong> You don’t have to\xa0like…'}"
42,"{'title': '4 Months Ago, I Quit My Job to Start My Own Business. Here Are 5 Career Lessons I Have Learned So\xa0Far. nan'}"
43,{'title': 'Selling Your Self-Published Novel is All About Relationships nan'}
44,{'title': 'How to Write Better Character Description Simple Tips That Any Writer Can\xa0Apply'}
45,{'title': 'How to Effectively Use Lambda Functions in Python as a Data Scientist An introduction to their\xa0syntax…'}
46,{'title': 'Using PyGWalker to Enhance Your Jupyter Notebook EDA Experience An Introduction to the PyGWalker…'}
47,{'title': '5 Jupyter Hacks That You Never Knew Even\xa0Existed With a bonus\xa0tip'}
48,{'title': 'Building a Recommender System using Machine\xa0Learning nan'}
49,{'title': 'ChatGPT’s Electricity Consumption ChatGPT may have consumed as much electricity…'}
50,{'title': 'Unlocking the Potential of JupyterLab: Discover the Powerful Text Editor You Never Knew You\xa0Had nan'}
51,{'title': '10 Things About Julia I Wish I Knew\xa0Earlier Various different Julian programming concepts that I\xa0wish…'}
52,{'title': 'How to Tackle Class Imbalance Without Resampling Imbalanced classification beyond resampling…'}
53,"{'title': 'MLOps with\xa0Optuna Don’t waste your time, use\xa0Optuna'}"
54,{'title': 'The Kaggle Blueprints: Unlocking Winning Approaches to Data Science Competitions nan'}
55,{'title': 'Introduction to\xa0PyTorch Going through the Workflow of a PyTorch\xa0Project'}
56,{'title': 'Command Line Interface (CLI) Tutorial\u200a—\u200aHow Advanced Users Interact with Computers nan'}
57,{'title': 'SEIR Modeling in R Using deSolve\u200a—\u200aChronic Wasting Disease in\xa0Deer Gaining health policy insight\xa0with…'}
58,"{'title': 'Optimization, Newton’s Method, & Profit Maximization: Part 3\u200a—\u200aApplied Profit Maximization nan'}"
59,{'title': 'Using Apache Kafka for Data Streaming Learn how to install and use Kafka to send and receive\xa0messages'}
60,{'title': 'Breaking Linearity With\xa0ReLU Explaining how and why the ReLU activation function is non-linear'}
61,{'title': '5 ways of Implementing Open Closed Principle with\xa0Python Object Oriented Programming Principles for…'}
62,{'title': 'Migrating data? Make the most of the Product\xa0itself! Use the product features to make the\xa0data…'}
63,{'title': 'Figma culture is destroying our individualism as designers How online communities and brand addiction…'}
64,{'title': 'Minimalism in UX: the blessing of no\xa0choices How minimum choices enhance users’ peace of\xa0mind.'}
65,{'title': 'Regenerative UX nan'}
66,{'title': 'Why chatbots\xa0fail The novelty of AI does not make up for a bad\xa0UX'}
67,{'title': 'Board game UX: a study on visibility of system\xa0status nan'}
68,{'title': 'Made for 5 billion\xa0people How we can empower humans to contribute to a better world through Generative…'}
69,{'title': 'How to avoid getting designs shot down in the name of consistency Component-level design helps\xa0teams…'}
70,"{'title': 'Become Obsessed with Your 5-9, Not Your\xa09-5 “Sometimes magic is just someone spending more time\xa0on…'}"
71,{'title': 'It Took 3 Years For Anyone to Notice My Writing. And I’m So Glad It\xa0Did. Why slow success is often\xa0the…'}
72,{'title': '6 (Micro) Tricks That Can Train Your Mind To Create More\xa0Content You are capable of producing more…'}
73,{'title': 'I Signed Up For a “Make Bank With AI” Marketing Scheme “AI will earn you $20k per month!” is\xa0the…'}
74,{'title': 'A Newsletter Build to get High-price Clients nan'}
75,{'title': 'Why It’s Crucial to Fail As An Online Writer\u200a—\u200a(9\xa0Reasons) The biggest barrier for most people starting an online writing career is\xa0fear.'}
76,{'title': '7 Non-negotiable Things You Should Think About as a Freelance Writer Before You Submit Your Guest Post to a\xa0Website nan'}
77,"{'title': 'The Boring Topics That Got My Substack Newsletter to 74,000 Subscribers And earned me a book deal\xa0with…'}"
78,{'title': 'The Truth About Why Some People Are More Creative Than\xa0Others Extreme restrictions lead to the\xa0most…'}
79,{'title': 'A Hack for Creating Dramatic Effect With Dialogue\xa0Tags nan'}
80,"{'title': '5 Reasons to Give Basic Advice as a\xa0Writer The underestimated power of basic advice, and why it\xa0should…'}"
81,"{'title': 'Write Now With Orlando Ortega-Medina Today’s Write Now interview features Orlando Ortega-Medina, a…'}"
82,{'title': 'A (Writer’s) Crisis of\xa0Faith How to recover your love of writing if you find yourself in a\xa0slump.'}
83,{'title': 'Why is JARVIS the only male\xa0AI? Why was JARVIS the only male-coded AI in Tony Stark’s arsenal? Why\xa0is…'}
84,"{'title': 'To benefit from AI, your organization’s learning loops must\xa0evolve Ideas are cheap. AI is posed\xa0to…'}"
85,{'title': 'User flow evaluations: why heuristic evaluations are old\xa0news I’m saying RIP to heuristic evaluations.'}
86,{'title': 'Why Hyundai decided to keep physical buttons in\xa0cars Improving driving safety with Fitt’s\xa0Law.'}
87,"{'title': 'Boosting the best-of-the-best design stories on\xa0Medium You write it, we boost\xa0it.'}"
88,{'title': 'Florence Henri: the forgotten female pioneer of surreal photography nan'}
89,"{'title': 'If I Was 22 Again and Just Starting My Career, Here’s the Life-Changing Advice I’d Give\xa0Myself nan'}"
90,{'title': 'How to Make Your First $1\xa0Online A step-by-step low-risk strategy to\xa0$1'}
91,{'title': 'Why the Majority of Our “Online Side Hustles” Aren’t Profitable Three mindset shifts that have\xa0helped…'}
92,{'title': 'The Elements that Make Great\xa0Fiction Introduction to the Five Elements of\xa0Fiction'}
93,{'title': '5 Fabulous Ways to Make it Astoundingly Clear Your Words are\xa0Yours My favourite writing techniques to…'}
94,{'title': 'Hidden Clues in Character Names: Unveiling the Secrets Authors Don’t Tell You (and even Themselves) nan'}
95,{'title': 'A Little Pandas Hack to Handle Large Datasets with Limited\xa0Memory The Pandas defaults aren’t\xa0optimal…'}
96,{'title': 'How to get started with TensorFlow using Keras API and Google\xa0Colab Step-by-step tutorial to\xa0analyze…'}
97,{'title': 'Data Quality Issues that Kill Your Machine Learning\xa0Models nan'}
98,{'title': 'Exploring Token Probabilities as a Means to Filter GPT-3’s\xa0Answers To build better GPT-3-powered…'}
99,{'title': 'Where Is Data Science Headed in\xa02023? Our weekly selection of must-read Editors’ Picks and original…'}
100,{'title': 'How to Set GOOGLE_APPLICATION_CREDENTIALS in\xa0Python Configuring Application Default Credentials and…'}
101,{'title': 'How to Combine the Forecasts of an\xa0Ensemble Using dynamic forecasting ensembles to cope with\xa0changes…'}
102,{'title': 'Unlock the Power of Causal Inference: A Data Scientist’s Guide to Understanding the Backdoor Adjustment Formula nan'}
103,{'title': 'Where Is the Bus? GTFS Will Tell\xa0Us! Show the real-time locations of public transport vehicles in\xa0the…'}
104,{'title': 'A step-by-step guide to Row and Columns Access policies in\xa0BigQuery Google’s Datawarehouse offers…'}
105,"{'title': 'Linear Algebra: Finding Inverse Matrix, with\xa0Python Part 3: A comprehensive step-by-step guide\xa0to…'}"
106,{'title': 'Applied Reinforcement Learning V: Normalized Advantage Function (NAF) for Continuous Control nan'}
107,{'title': 'A Quickstart Guide To Uprooting Model\xa0Bias nan'}
108,{'title': 'Validate a String as HTML Using\xa0SQL Is it possible to check if a string contains valid HTML using\xa0just…'}
109,{'title': 'Headless design systems in\xa0Figma How to use Tokens Studio to create flexible component libraries'}
110,"{'title': 'A brief, literary history of\xa0AR In Borge’s On Exactitude in Science, he imagines a map as large as\xa0the…'}"
111,"{'title': '<strong class=""markup--strong markup--h3-strong"">I Nearly Died Laughing When a VC Told Me the #1 Metric He Uses For Deciding Which Startups to\xa0Fund</strong> nan'}"
112,{'title': 'Recession-Proof Yourself with These Proven Strategies to Live with Less Stress (And More\xa0Freedom) nan'}
113,"{'title': 'How to Write for VICE, in 4\xa0Steps nan'}"
114,{'title': 'The Mindset That Brings Unlimited Willpower nan'}
115,"{'title': '7 Careless Mistakes Which Could Destroy Your Freelance Career To develop a career as a freelancer, you’ll need to make certain adjustments to your outlook and\xa0habit.'}"
116,"{'title': '5 Lessons From Reaching 5,000 Subscribers On\xa0YouTube In a small\xa0niche'}"
117,{'title': '3 Mantras I Adopted to Silence My Inner Critic and Unleash My Creative\xa0Self nan'}
118,"{'title': '<strong class=""markup--strong markup--h3-strong"">How I Build a Pipeline of Work by Focusing on My Clients’ Professional Advancement</strong> nan'}"
119,{'title': '5 Tiny Mistakes That Are Ruining Your Pitches to Potential Clients The importance of knowing what\xa0not…'}
120,{'title': 'Writing Fiction: The Crucial Art of Mastering Point of\xa0View Are you narrating your story in the\xa0way…'}
121,{'title': 'My Professor Told Me “You Might Want to Rethink That” When I Told Her I Wanted to Publish a\xa0Book nan'}
122,{'title': 'Transform Your Novel-Plotting Skills Using This Renowned Storyteller’s Method A Breakdown of…'}
123,{'title': '3 Easy Ways to Include Interactive Maps in a Streamlit App Visualising Geospatial Data\xa0Within…'}
124,{'title': 'PCA/LDA/ICA\xa0: a components analysis algorithms comparison Review the concepts and differences between…'}
125,{'title': 'Movie Recommendations with\xa0Neo4j Building a simple movie recommender with Python and\xa0Neo4j'}
126,"{'title': '<strong class=""markup--strong markup--h3-strong"">So, are fonts cut from paper\xa0now?</strong> Not really, but the latest type trend sure looks like\xa0that.'}"
127,"{'title': 'The Most Important Money Lessons People Learn Too Late in\xa0Life In most cases, $1M equals dirt\xa0poor'}"
128,{'title': '7 Ways To Efficiently Scale Up Your Content Generation Without Burning\xa0Out Grow without the impending stress that comes with the\xa0job'}
129,"{'title': '<em class=""markup--em markup--h3-em"">The Dark Psychology of Customer Loyalty\xa0Programs</em> You think you’re winning with customer\xa0loyalty…'}"
130,{'title': '4 Hard Lessons I Learned After I Quit My High-Paying Job To Write Full-Time #1. Having a “Friendly”…'}
131,"{'title': 'Why Every Business, Regardless of Size, Needs A Zero Trust\xa0Model nan'}"
132,{'title': '11 Tips for Writing Fantastic Product Descriptions Research shows that weak product descriptions are…'}
133,"{'title': 'Creative Exhaustion Why writers need to know what is it, how to spot it, and how to recover from\xa0it.'}"
134,"{'title': '<strong class=""markup--strong markup--h3-strong"">How To Launch a Newspaper &amp; Make Community Journalism Pay</strong> A case study in building a business\xa0from…'}"
135,{'title': 'Take it for\xa0Granted Non-profits need your writing\xa0skills'}
136,{'title': 'A Day in the Life of a Chief Data Scientist Spoiler alert\u200a—\u200aI don’t do much data\xa0science!'}
137,{'title': 'Equal-size spectral clustering A modification of this popular algorithm that builds clusters balanced…'}
138,"{'title': 'Become An Effective Machine Learning Team\xa0Lead Managing communication, infrastructure and documentation'}"
139,{'title': '14 Techniques to make your Pandas workflow lighting\xa0fast Essential guide to scale-up your\xa0Pandas…'}
140,"{'title': 'How to Train a Word2Vec Model from Scratch with\xa0Gensim <em class=""markup--em markup--h4-em"">In this article we will explore Gensim, a\xa0very</em>'}"
141,{'title': 'Args vs kwargs: which is the fastest way to call a function in\xa0Python? A clear demonstration of\xa0the…'}
142,"{'title': 'How to Detect Drift in Machine Learning\xa0Models <em class=""markup--em markup--h4-em"">This might be the reason why your model performance</em>'}"
143,{'title': 'Monitoring Machine Learning Models: A fundamental practice for data scientists and machine learning engineers nan'}
144,{'title': 'How to Perform Univariate Outlier Detection in Python for Machine\xa0Learning Univariate outlier…'}
145,{'title': 'How to Do Cross-Validation Effectively A guide to cross-validation best practices: re-training and…'}
146,{'title': 'Extractive vs Generative Q&A\u200a—\u200aWhich is better for your business? The arrival of ChatGPT hints at\xa0a…'}
147,{'title': 'MLOps made simple: how to run a batch prediction pipeline using Azure Machine Learning components nan'}
148,{'title': 'From Algorithms to Words: Why I Write About Machine\xa0Learning Writing online has been a game-changer…'}
149,{'title': 'Writing a book on NLP is a bit like solving a complex data science\xa0project An interview with\xa0Lewis…'}
150,{'title': 'Lineman Stationarity A data-driven metric for offensive linemen'}
151,{'title': 'Optimal Demand Fulfillment: An Industry\xa0Approach nan'}
152,{'title': 'Predicting Protein Functions using Machine\xa0Learning How to predict protein functions using the\xa0CAFA2…'}
153,"{'title': 'Actually, we should be worried about AI coming for our UX\xa0jobs Prudence and caution, not\xa0blind…'}"
154,{'title': 'Should inclusive design be a UX\xa0concern? The data may surprise\xa0you.'}
155,"{'title': '<strong class=""markup--strong markup--h3-strong"">Ethical dilemmas around the study of human behavior for marketing</strong> Turning challenges into possible\xa0paths'}"
156,{'title': 'The power of a catchy\xa0name How naming your UX Research findings can make them\xa0stick'}
157,{'title': 'DesignOps: OKRs or balanced scorecards? As a transformative discipline focused on delivering tangible…'}
158,{'title': 'Servants of insight:  The top 3 key skills you need\xa0to…'}
159,{'title': 'Vanity interviews: what can PMs and UX researchers learn from oral historians? Avoid “vanity…'}
160,{'title': 'Here’s how to build and host a responsive portfolio inside\xa0Figma nan'}
161,"{'title': 'Ageism, Netflix’s mistake, board game UX, conditional logic in\xa0Figma Weekly curated resources for…'}"
162,"{'title': '<strong class=""markup--strong markup--h3-strong"">The rise of digital accessibility: building the business\xa0case</strong> nan'}"
163,{'title': 'The perks of pair-designing Multiplying your design\xa0powers'}
164,{'title': 'What is healthcare’s LEGO? nan'}
165,{'title': 'Feeling Unfulfilled and Unhappy Happens When You Have No Real Hobbies Outside of Your\xa0Job nan'}
166,{'title': '5 Writing Tips To Develop a Friendly Online Personality & [Really] Connect With The\xa0Audience nan'}
167,{'title': 'How to Make the Most of This Golden Age For\xa0Writers The era of successful and wealthy online\xa0writers…'}
168,{'title': '12 Writing Mistakes You’re Making Right Now (But Don’t Have\xa0To) I found #8 is the hardest to\xa0correct'}
169,{'title': 'You’ve Hit “Publish.” Now\xa0What? nan'}
170,{'title': '5 Secrets No One Tells You About Writing\xa0Online It’s not all fairy dust and\xa0rainbows'}
171,{'title': 'I Block People Who Respond to Articles With a Question\xa0Mark nan'}
172,{'title': 'Are the First 10 Pages of Your Novel Really That Important? How to start your\xa0novel'}
173,"{'title': 'Excuse Me, You’ve Got Something Under Your\xa0Words The words under the\xa0words'}"
174,{'title': 'SQL on Pandas\u200a—\u200aMy New Favorite for 10X\xa0Speed. Bringing the best of both worlds\xa0together'}
175,{'title': 'Enhanced Object Detection: How To Effectively Implement YOLOv8 A practical guide to object detection…'}
176,{'title': 'Time Series Forecasting with Facebook’s Prophet in 10\xa0Minutes Part 1: Build a working model with\xa06…'}
177,{'title': 'Let’s Talk About Math (for Data Scientists) Our weekly selection of must-read Editors’ Picks\xa0and…'}
178,{'title': 'Making Language Models Similar to the Human\xa0Brain nan'}
179,{'title': 'Decision Tree Regressor in\xa0Excel A Step-by-Step Guide for Machine Learning Beginners'}
180,{'title': 'Deploying Multiple Models with SageMaker Pipelines Applying MLOps best practices to advanced\xa0serving…'}
181,{'title': 'Gradient Boosting: To Early Stop or Not To Early\xa0Stop How early stopping halves training time\xa0for…'}
182,"{'title': '<strong class=""markup--strong markup--h3-strong"">What Stops You From Getting Your First Data Science\xa0Job?</strong> Walkthrough of the data science interview…'}"
183,{'title': 'How To Parse HTML With\xa0Regex Using the'}
184,"{'title': 'Testing readability tests: Flesch–Kincaid, ARI, and Gunning\xa0Fog The lousy powers behind Hemingway…'}"
185,{'title': 'The algebra of VALUE for\xa0startups A mathematical look at why the next generation of startups\xa0should…'}
186,"{'title': 'Now that Google Search is Dying, Here Are Better Alternatives Not Bing or\xa0ChatGPT'}"
187,"{'title': '<strong class=""markup--strong markup--h3-strong"">How I Convinced Myself to Stop Worrying About ChatGPT and Embrace Our New A.I. Overlords</strong> nan'}"
188,{'title': 'How Content Creators Can Also Start Online Course\xa0Empires Let a real-life online course\xa0creator…'}
189,{'title': 'How to Set Rates as a Freelancer and Ensure You’re Getting Paid What You’re\xa0Worth nan'}
190,{'title': 'Unlock Your Wealth Potential With Empowered Learning How leveled-up learning can help you build\xa0a…'}
191,{'title': '7 Online Business Models That Give Everyday Creators Like You the License to Print\xa0Money nan'}
192,"{'title': '<strong class=""markup--strong markup--h3-strong"">Thriller Suspense vs Horror\xa0Suspense</strong> Getting to grips with genre variations for keeping readers on\xa0the…'}"
193,"{'title': 'The Crucial, Overlooked Element in Your Paperback Book\xa0Design How to Design a Book-Selling Back\xa0Cover!'}"
194,{'title': 'What My Latest Trip Taught Me About Being a\xa0Writer Travel Makes Us Better\xa0Writers.'}
195,{'title': 'How I Cried in 2022: An Analysis of 365 Days of Personal\xa0Data An investigation into my crying patterns…'}
196,{'title': 'ETL testing\u200a—\u200aHow to test your data pipelines the right\xa0way? This fundamental data challenge is\xa0still…'}
197,{'title': '5 Ways to Apply If-Else Conditional Statements in\xa0Pandas Revisiting Pandas Basics and Honing Your\xa0Data…'}
198,"{'title': '13 Data Buzzwords You Need To Know in\xa02023 <strong class=""markup--strong markup--h4-strong"">Data terms</strong>'}"
199,{'title': 'Understand Polars’ Lack of\xa0Indexes Switch from Pandas to Polars and forget about\xa0indexes'}
200,{'title': 'Understanding Multinomial Distribution using\xa0Python The math and intuition behind the multinomial…'}
201,{'title': 'Window Functions in PostgreSQL A must-know for any data practitioner'}
202,{'title': 'The Kinetic Theory of Gases: Modeling the Dynamics of Ideal Gas Molecules nan'}
203,{'title': 'Meaningful Experimentation: 5 Impactful Data Projects To Help Build Better\xa0Products nan'}
204,{'title': 'Machine Learning Algorithms Part 1: Linear Regression Predict the Price of Diamonds Using\xa0Linear…'}
205,{'title': 'What’s next for analytics in\xa02023? Will analytics teams conquer the last mile of analytics in\xa02023?'}
206,{'title': 'The Science and Art of Causality (part\xa02) Let’s put ourselves in the shoes of a detective and\xa0explore…'}
207,{'title': 'Zero-sum Games and Mixed Strategies Modelling strategic interactions demands we account\xa0for…'}
208,{'title': 'How to deploy a Panel app to Hugging Face using\xa0Docker 5 simple\xa0steps'}
209,{'title': 'How to Change the Datetime Format in\xa0Pandas Working with datetimes in Python and\xa0pandas'}
210,{'title': 'Why SOLID Design Matters: Avoid Code Smells and Write Maintainable Code Use the SOLID principles to…'}
211,{'title': 'Neural Networks with Multiple Data\xa0Sources How to design a neural network with inputs from multiple…'}
212,{'title': 'Hire Your Next Analytics Superstar with a Project-Based Interview Project-based interviews can\xa0be…'}
213,{'title': 'What Is Cloud Computing? Introduction to the functionality of a\xa0Cloud'}
214,{'title': 'Host Your Google Earth Engine RESTful APIs on Colab for\xa0Free With FastAPI and\xa0ngrok'}
215,"{'title': 'Learning Transfer\xa0Learning Transfer learning is the process of using skills and knowledge, that\xa0have…'}"
216,{'title': 'What is\xa0Presto? Get to know the Components of\xa0Presto'}
217,{'title': 'How Much Forecasting Performance Do You Lose During Model Selection? How often does cross-validation…'}
218,{'title': 'Various Types of Deployment in Machine\xa0Learning Learn various deployment strategies for successfully…'}
219,{'title': 'From Powerpoints to PDFs to CSV Files: Python Classes for Reading Major File\xa0Types nan'}
220,{'title': 'Sustainable UX is more than reducing your website‘s footprint We as designers have an incredible…'}
221,"{'title': 'A meet-less diet This year, resolve to nourish your calendar with fewer, more meaningful meetings'}"
222,{'title': 'Will nationalism end the golden age of global AI collaboration? As nationalism divides nations\xa0and…'}
223,{'title': 'Tesla Just Silently Filed Paperwork That Could Change Everything Would you fly on an electric\xa0plane?'}
224,"{'title': 'How to Write for Forbes in 2023, in 4\xa0Steps nan'}"
225,{'title': 'My Mindset in My 9–5 Versus as a Solopreneur A series of comparisons.'}
226,{'title': '7 Ambitious Goals Every Startup Must Set for Massive\xa0Success It never hurts to aim for\xa0success'}
227,{'title': '5 Easy Ways To Gain New Clients On Social\xa0Media nan'}
228,{'title': '3 Necessary Shifts to Start Your Part-Time Side Hustle Without Burning\xa0Out Do yourself a favor\xa0and…'}
229,{'title': 'The Level of Description In Your\xa0Fiction An overload of adjectives doesn’t always serve the\xa0story.'}
230,{'title': 'How to Write the Resolution of Your\xa0Story Writing the Disaster Plot\xa0Point'}
231,{'title': 'My Circuitous Journey To Becoming A Newspaper Reporter How I fought my way to into journalism'}
232,"{'title': 'A New Writer’s Guide to Big, Audacious Goals What’s the difference between a pipe dream and a\xa0stretch…'}"
233,{'title': 'Translate with\xa0ChatGPT A very robust machine translation system'}
234,{'title': 'Pandas & Python Tricks for Data Science & Data Analysis\u200a—\u200aPart\xa03 This is the third part of my\xa0Pandas…'}
235,"{'title': '<strong class=""markup--strong markup--h3-strong"">Reinforcement Learning Basics: Understanding Stochastic Theory Underlying a Markov Decision\xa0Process</strong> nan'}"
236,{'title': 'XGBoost: Theory and Hyperparameter Tuning A complete guide with examples in\xa0Python'}
237,"{'title': 'End-to-End ML Pipelines with MLflow: Tracking, Projects &\xa0Serving A Definitive Guide to Advanced\xa0Use…'}"
238,"{'title': 'Hands-On Introduction to Delta Lake with (py)Spark Concepts, theory, and functionalities of\xa0this…'}"
239,{'title': '“Text search vs. Vector search: Better together?” Learn how to create a hybrid search setup to\xa0enjoy…'}
240,{'title': 'PCA vs Autoencoders for a Small Dataset in Dimensionality Reduction Neural Networks and Deep Learning…'}
241,{'title': '3 ways to gain experience in data science even in a non-data science\xa0job Develop your data\xa0science…'}
242,{'title': 'Let’s Expand Our Data Science\xa0Horizons Our weekly selection of must-read Editors’ Picks and original…'}
243,{'title': 'ML model registry\u200a—\u200athe “interface” that binds model experiments and model deployment nan'}
244,{'title': '20 Soft Skills to Look for in Candidates for your Machine Learning\xa0Team nan'}
245,{'title': 'A Practical Introduction to Sequential Feature Selection A gentle dive into this unusual\xa0feature…'}
246,{'title': 'Using Machine Learning to Create Custom Color\xa0Palettes Behind the scenes look at Streamlit’s app\xa0of…'}
247,{'title': 'Finding the Fastest Lane at Border Crossings Using Machine\xa0Vision Optimizing border crossing with object detection and\xa0tracking'}
248,{'title': 'How to thrive in product-led growth (or high-pressure) design\xa0teams Product-led growth provides\xa0UX…'}
249,"{'title': 'Thinking like a\xa0platform <strong class=""markup--strong markup--h4-strong"">…and unlocking the potential of digital ecosystems</strong>'}"
250,{'title': '5 Quiet Signs of the Top 1% of Creators on the\xa0Internet Learn from the best in the\xa0biz'}
251,"{'title': 'Create 1 Year of Content Ideas With\xa0ChatGPT A process to create a well-rounded, SEO-friendly content…'}"
252,{'title': '7 Uncommon Tips for How To Write AI Image Prompts (and How To Make Money Writing\xa0Them) nan'}
253,"{'title': '<strong class=""markup--strong markup--h3-strong"">The One Question to Ask Yourself Before Shutting Down Your\xa0Startup</strong> Quitting isn’t easy, but there’s\xa0a…'}"
254,"{'title': 'Lessons Learned From Writing on LinkedIn for 1\xa0Year Find your system, voice, and conversations.'}"
255,{'title': '5 Smart Ways to Consume Content as an Entrepreneur Avoid the pitfalls of online education to make\xa0real…'}
256,{'title': 'How I Successfully Pitched A Story To The Huffington Post The hardest part\xa0was…'}
257,{'title': 'Why Getting Scammed Again Didn’t Ruin My\xa0Day Learning to take a punch is as important as enjoying\xa0your…'}
258,{'title': 'Organizing Your Novel’s Ideas Early Will Save Time (and Money)\xa0Later nan'}
259,{'title': '3 Simple Ways to Improve Your Supporting Characters Transform your supporting characters from flat\xa0to…'}
260,{'title': 'The Principle That Drives Exceptional Client\xa0Service How writers can become powerful advocates for…'}
261,{'title': 'Neural Graph Databases A new milestone in graph data management'}
262,{'title': 'Deploy Machine Learning Models Right From Your Jupyter\xa0Notebook Deploy machine learning models in\xa0one…'}
263,"{'title': 'Introduction to PyTorch: from training loop to prediction <em class=""markup--em markup--h4-em"">An introduction to PyTorch’s training\xa0loop</em>'}"
264,{'title': 'Hashing in Modern Recommender Systems: A\xa0Primer Understanding the most underrated trick in\xa0applied…'}
265,{'title': 'How to Identify Fuzzy Duplicates in Your Tabular\xa0Dataset Effortless data deduplication at\xa0scale.'}
